STATION_NAME,SITE_ID,FIRE_CENTRE,ENABLED,LATITUDE,LONGITUDE,ELEVATION,STATION_CODE,FIRE_ZONE
QD GOES 6 DEER,,,FALSE,NA,NA,NA,NA,NA
QD K21633,,,FALSE,NA,NA,NA,NA,NA
QD K22024,,,FALSE,NA,NA,NA,NA,NA
QD K71535,,,FALSE,NA,NA,NA,NA,NA
QD MAGNA BAY,,,FALSE,NA,NA,NA,NA,NA
QD OMINECA,,,FALSE,NA,NA,NA,NA,NA
QD POWERS CREEK,,,FALSE,NA,NA,NA,NA,NA
QD ROUND MOUNTAIN,,,FALSE,NA,NA,NA,NA,NA
QD WEST DUNCAN,,,FALSE,NA,NA,NA,NA,NA
QD WISEMAN,96.1.71.103:48001;0x01E0-0x01E2-0x016B,,FALSE,50.796861,-118.943174,1029,NA,NA
QD YALAKOM VALLEY,,,FALSE,NA,NA,NA,NA,NA
QD10 MCDONALD PB,,,FALSE,NA,NA,NA,NA,NA
QD11 MOONLIT,,,FALSE,NA,NA,NA,NA,NA
QD12 TENQUILLE CREEK PB,,,FALSE,NA,NA,NA,NA,NA
QD13 FONTAS,,,FALSE,NA,NA,NA,NA,NA
QD13 STEAMBOAT,,,FALSE,NA,NA,NA,NA,NA
QD14 CAMERON LAKE,,,FALSE,NA,NA,NA,NA,NA
QD14 XETOLACW,,Coastal Fire Centre,FALSE,NA,NA,NA,NA,NA
QD17 ZYMOETZ,,,FALSE,NA,NA,NA,NA,NA
QD18 BRUNSON LK PB,,,FALSE,NA,NA,NA,NA,NA
QD19 BIG MOUTH PB,,,FALSE,NA,NA,NA,NA,NA
QD2 KETTLE VALLEY PB,,,FALSE,NA,NA,NA,NA,NA
QD2 MEADOW MT,,,FALSE,NA,NA,NA,NA,NA
QD2 NORTH CREEK PB,,,FALSE,NA,NA,NA,NA,NA
QD20 LEMON CREEK,,,FALSE,NA,NA,NA,NA,NA
QD20 SWANSON,,,FALSE,NA,NA,NA,NA,NA
QD3 KOKANEE CREEK PB,,,FALSE,NA,NA,NA,NA,NA
QD3 SIX MILE SLOUGH,,,FALSE,NA,NA,NA,NA,NA
QD5 BOSK LAKE,,,FALSE,NA,NA,NA,NA,NA
QD6 CRANBROOK2,,,FALSE,NA,NA,NA,NA,NA
QD6 Grassy,,,FALSE,NA,NA,NA,NA,NA
